Region,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Dependancy ratio
WORLD,1997,  621 932,  629 739,  596 691,  541 972,  508 568,  497 721,  461 220,  386 310,  359 341,  299 879,  229 595,  204 278,  176 463,  146 231,  109 718,  69 646,  40 407,  19 441,  6 016,  1 177,   138,61.14389453
WORLD,1998,  620 210,  626 240,  605 950,  554 095,  508 028,  502 729,  465 813,  398 181,  366 791,  311 614,  239 736,  204 985,  180 136,  148 254,  112 954,  73 339,  40 354,  20 184,  6 320,  1 251,   148,60.42707943
WORLD,1999,  619 190,  621 684,  615 045,  564 400,  510 103,  504 909,  470 540,  414 032,  371 101,  322 701,  251 574,  206 088,  183 538,  150 104,  116 033,  76 923,  40 795,  20 887,  6 638,  1 315,   159,59.72047861
WORLD,2000,  619 565,  615 498,  623 257,  573 935,  516 152,  504 989,  477 115,  429 609,  372 959,  333 244,  265 097,  207 674,  186 547,  152 184,  119 086,  79 868,  42 222,  21 382,  6 959,  1 387,   169,58.99629517
WORLD,2001,  621 252,  610 541,  627 321,  583 463,  525 254,  503 765,  484 568,  444 657,  374 528,  342 373,  278 236,  211 401,  188 981,  155 026,  121 738,  82 607,  44 480,  21 622,  7 291,  1 462,   180,58.2521319
WORLD,2002,  623 778,  608 321,  626 007,  592 764,  536 805,  502 624,  492 008,  454 791,  379 169,  350 618,  290 262,  218 867,  190 428,  158 474,  123 955,  85 455,  47 010,  21 706,  7 638,  1 537,   192,57.48198676
WORLD,2003,  627 026,  607 203,  622 787,  601 784,  548 489,  502 131,  497 011,  459 349,  390 905,  357 947,  301 693,  228 770,  191 297,  161 963,  125 965,  88 194,  49 780,  21 799,  7 983,  1 618,   203,56.73713259
WORLD,2004,  630 789,  606 797,  618 466,  610 772,  558 341,  504 241,  499 203,  464 076,  406 576,  362 164,  312 511,  240 341,  192 576,  165 206,  127 845,  90 818,  52 521,  22 243,  8 341,  1 713,   212,56.0120958
WORLD,2005,  634 207,  607 755,  612 531,  619 160,  567 578,  510 153,  499 219,  470 589,  421 940,  363 965,  322 829,  253 590,  194 330,  168 161,  129 917,  93 449,  54 833,  23 305,  8 622,  1 819,   224,55.28365227
WORLD,2006,  637 557,  610 031,  607 855,  623 576,  577 070,  519 091,  497 947,  477 918,  436 772,  365 482,  331 744,  266 463,  198 140,  170 659,  132 631,  95 763,  56 949,  24 827,  8 775,  1 929,   236,54.66005802
