Region,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Dependancy ratio
United Kingdom,1974,  4 120,  4 633,  4 571,  4 050,  3 889,  4 187,  3 415,  3 247,  3 205,  3 336,  3 600,  3 004,  3 205,  2 827,  2 182,  1 421,   829,   379,   114,   19,   2,60.0386617
United Kingdom,1975,  3 933,  4 547,  4 659,  4 153,  3 862,  4 221,  3 519,  3 253,  3 174,  3 295,  3 538,  3 035,  3 183,  2 845,  2 226,  1 461,   841,   385,   117,   20,   2,59.70129244
United Kingdom,1976,  3 729,  4 467,  4 702,  4 270,  3 874,  4 183,  3 679,  3 240,  3 155,  3 259,  3 434,  3 142,  3 125,  2 854,  2 262,  1 503,   854,   390,   119,   21,   2,59.11115844
United Kingdom,1977,  3 543,  4 370,  4 706,  4 381,  3 924,  4 058,  3 891,  3 245,  3 156,  3 223,  3 349,  3 267,  3 020,  2 856,  2 297,  1 548,   868,   397,   122,   22,   2,58.37179646
United Kingdom,1978,  3 423,  4 231,  4 680,  4 485,  3 990,  3 939,  4 056,  3 290,  3 179,  3 183,  3 288,  3 389,  2 883,  2 856,  2 332,  1 594,   887,   405,   126,   23,   2,57.61531288
United Kingdom,1979,  3 386,  4 067,  4 619,  4 588,  4 067,  3 879,  4 136,  3 370,  3 205,  3 142,  3 242,  3 440,  2 798,  2 854,  2 359,  1 635,   910,   413,   130,   24,   2,56.87121364
United Kingdom,1980,  3 417,  3 890,  4 536,  4 671,  4 170,  3 852,  4 169,  3 473,  3 210,  3 112,  3 205,  3 382,  2 830,  2 839,  2 380,  1 673,   938,   423,   133,   24,   2,56.14623814
United Kingdom,1981,  3 476,  3 697,  4 459,  4 708,  4 284,  3 863,  4 131,  3 634,  3 198,  3 094,  3 172,  3 283,  2 934,  2 792,  2 394,  1 708,   970,   434,   138,   26,   3,55.36091021
United Kingdom,1982,  3 539,  3 522,  4 367,  4 708,  4 390,  3 910,  4 008,  3 846,  3 203,  3 095,  3 138,  3 204,  3 054,  2 702,  2 402,  1 742,  1 003,   445,   142,   27,   3,54.41276942
United Kingdom,1983,  3 593,  3 410,  4 233,  4 680,  4 490,  3 971,  3 890,  4 013,  3 250,  3 119,  3 101,  3 148,  3 170,  2 580,  2 410,  1 775,  1 035,   458,   146,   28,   3,53.40692674
United Kingdom,1984,  3 617,  3 379,  4 074,  4 617,  4 589,  4 045,  3 829,  4 094,  3 331,  3 146,  3 064,  3 108,  3 221,  2 508,  2 416,  1 804,  1 069,   475,   151,   29,   3,52.71091164
United Kingdom,1985,  3 623,  3 413,  3 901,  4 532,  4 667,  4 144,  3 801,  4 129,  3 436,  3 153,  3 036,  3 076,  3 170,  2 543,  2 409,  1 827,  1 100,   492,   156,   30,   3,52.4954448
United Kingdom,1986,  3 641,  3 474,  3 712,  4 452,  4 701,  4 255,  3 811,  4 095,  3 598,  3 143,  3 020,  3 048,  3 081,  2 642,  2 372,  1 841,  1 128,   511,   161,   32,   3,52.4598626
United Kingdom,1987,  3 683,  3 539,  3 539,  4 357,  4 699,  4 361,  3 856,  3 976,  3 812,  3 150,  3 024,  3 020,  3 011,  2 754,  2 297,  1 854,  1 158,   533,   167,   33,   4,52.49182142
United Kingdom,1988,  3 739,  3 596,  3 427,  4 221,  4 669,  4 461,  3 914,  3 860,  3 981,  3 199,  3 050,  2 988,  2 962,  2 861,  2 198,  1 867,  1 188,   557,   176,   35,   4,52.65966473
United Kingdom,1989,  3 789,  3 623,  3 394,  4 060,  4 607,  4 561,  3 986,  3 801,  4 066,  3 280,  3 081,  2 957,  2 930,  2 909,  2 141,  1 876,  1 213,   578,   184,   36,   4,52.89739266
United Kingdom,1990,  3 829,  3 633,  3 425,  3 885,  4 521,  4 642,  4 085,  3 776,  4 105,  3 387,  3 092,  2 935,  2 905,  2 869,  2 179,  1 875,  1 234,   599,   192,   38,   4,53.24392459
United Kingdom,1991,  3 863,  3 654,  3 480,  3 694,  4 440,  4 681,  4 197,  3 788,  4 076,  3 550,  3 086,  2 925,  2 885,  2 795,  2 273,  1 852,  1 252,   621,   203,   40,   4,53.68493142
United Kingdom,1992,  3 879,  3 694,  3 542,  3 519,  4 346,  4 686,  4 305,  3 835,  3 962,  3 764,  3 097,  2 934,  2 865,  2 737,  2 376,  1 797,  1 267,   642,   214,   42,   5,54.12097284
United Kingdom,1993,  3 868,  3 746,  3 598,  3 405,  4 216,  4 664,  4 409,  3 897,  3 851,  3 935,  3 148,  2 965,  2 841,  2 698,  2 470,  1 720,  1 280,   662,   224,   44,   5,54.42090275
United Kingdom,1994,  3 842,  3 792,  3 627,  3 371,  4 064,  4 611,  4 514,  3 971,  3 796,  4 023,  3 232,  3 000,  2 817,  2 675,  2 515,  1 681,  1 292,   680,   233,   46,   5,54.51543847
