LAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Lichfield,11,4,12,1,5,1,5,9,8,4,11,9,8,11,7,8,8,10,14,9,11
Lincoln,12,11,13,9,10,11,12,13,14,12,8,14,11,11,13,12,7,20,12,17,13
Lincolnshire,73,63,70,53,73,68,65,61,90,57,61,79,60,67,74,58,63,87,74,89,79
Liverpool,51,41,42,32,57,44,36,21,27,22,39,46,42,45,39,35,50,37,39,54,50
London,629,629,658,627,620,588,549,591,570,574,585,577,516,552,735,580,568,661,616,543,520
Luton,12,19,16,18,15,15,16,20,13,16,12,10,8,11,21,16,10,8,17,14,12
Maidstone,14,15,13,12,14,13,8,11,15,7,9,16,15,16,11,11,9,8,26,18,16
Maldon,6,2,3,5,3,5,4,6,4,4,10,4,6,6,5,14,7,10,6,5,6
Malvern Hills,7,4,7,5,6,5,6,8,8,11,7,3,8,6,4,10,4,6,8,5,13
Manchester,52,48,47,47,61,43,40,54,59,66,66,53,37,48,45,38,30,45,46,38,70
Mansfield,9,10,8,14,9,9,6,5,9,9,6,18,13,9,6,9,10,3,7,8,15
Medway,17,22,13,20,21,23,22,14,19,14,14,20,31,30,22,27,19,19,20,23,33
Melton,8,2,3,4,2,5,2,0,1,3,4,9,7,3,4,7,2,5,2,4,6
Mendip,9,10,10,6,11,12,7,8,3,9,6,14,18,9,9,13,7,12,6,19,14
Merseyside (Met County),157,132,132,121,138,130,114,91,96,85,121,143,127,141,135,142,150,114,110,138,164
Merthyr Tydfil / Merthyr Tudful,4,6,9,6,7,10,4,4,3,6,7,5,8,7,13,5,7,8,9,7,11
Merton,14,12,18,13,19,9,11,16,11,14,14,18,13,11,13,20,18,11,9,18,10
Mid Devon,7,7,4,6,6,1,8,5,9,5,12,1,5,8,5,9,4,13,14,7,11
Mid Suffolk,12,3,7,6,10,3,7,14,8,6,11,7,5,9,9,8,8,12,10,12,8
Mid Sussex,7,12,13,18,13,6,3,10,5,5,6,6,15,6,17,6,7,11,13,14,17
Middlesbrough,17,18,32,27,14,11,19,15,10,10,17,16,17,28,14,21,18,15,16,25,13
Milton Keynes,7,20,10,12,14,12,23,15,18,22,13,19,23,18,13,16,22,14,27,26,38
Mole Valley,5,4,2,9,6,2,7,8,13,8,10,8,8,8,5,8,6,8,6,13,11
Monmouthshire / Sir Fynwy,6,7,6,8,4,10,6,6,6,3,7,9,13,2,16,11,7,9,4,18,4
Neath Port Talbot / Castell-nedd Port Talbot,21,18,20,16,22,14,18,19,25,13,18,16,29,11,19,22,18,19,16,15,9
New Forest,7,10,15,11,7,5,13,17,11,14,14,14,14,16,9,8,12,12,16,8,14
Newark and Sherwood,9,12,12,14,11,11,14,12,8,9,12,5,10,9,7,2,9,11,13,11,11
Newcastle upon Tyne,31,36,37,37,15,30,17,18,19,16,27,25,29,34,21,22,21,35,23,30,32
Newcastle-under-Lyme,12,14,12,8,11,6,9,7,8,14,13,12,15,9,14,8,7,15,14,8,17
Newham,22,12,23,21,16,22,15,19,27,15,15,21,16,23,25,19,24,21,11,23,20
Newport / Casnewydd,12,12,7,7,15,13,6,7,6,7,12,11,17,7,16,12,12,19,8,18,15
Norfolk,75,74,73,91,74,66,52,80,65,64,73,64,89,112,89,94,68,108,89,76,91
North Devon,10,5,4,8,8,7,10,7,8,6,11,12,10,14,9,12,12,7,9,8,11
North East,248,239,272,295,242,228,217,232,237,235,273,246,295,305,247,244,248,287,266,306,328
North East Derbyshire,3,11,2,4,4,8,4,4,3,6,6,7,7,8,11,4,10,6,13,10,12
North East Lincolnshire,11,21,13,22,11,9,11,14,12,19,11,12,14,10,21,10,15,15,16,3,9
North Hertfordshire,13,11,5,8,9,4,9,15,8,11,5,6,4,12,4,9,11,10,11,6,7
North Kesteven,13,9,6,6,6,13,8,10,13,7,16,12,10,8,9,7,9,6,11,11,13
North Lincolnshire,14,11,13,13,20,11,8,16,13,6,23,20,13,11,12,10,14,20,19,12,12
North Norfolk,10,10,11,9,8,6,3,8,5,4,7,3,8,12,9,14,9,12,13,14,17
North Northamptonshire,31,19,28,33,25,24,26,15,29,11,30,12,29,30,42,36,25,39,33,24,39
North Somerset,13,12,17,9,8,17,14,26,18,30,17,26,13,20,15,20,20,19,19,15,17
North Tyneside,22,14,22,23,23,17,19,33,26,23,26,28,14,23,25,21,23,26,21,13,25
North Warwickshire,2,4,3,4,1,1,7,4,2,5,5,4,4,7,4,12,5,5,7,7,7
North West,719,641,637,636,678,636,638,614,706,616,675,704,716,727,674,661,634,682,709,643,825
North West Leicestershire,10,4,6,10,7,8,5,3,4,2,10,12,7,8,10,8,5,4,11,11,14
North Yorkshire,60,51,59,45,59,54,39,61,53,54,64,58,55,47,62,54,56,70,69,69,45
Northumberland,25,30,29,55,32,39,34,21,31,26,33,34,39,38,28,24,30,37,34,22,39
Norwich,12,11,14,15,13,12,13,16,13,16,16,10,24,19,16,20,17,22,20,13,13
Nottingham,36,20,35,38,34,27,31,23,28,16,26,21,38,25,22,20,29,27,43,21,30
Nottinghamshire,70,64,50,93,67,59,58,66,42,61,61,69,70,80,50,46,72,47,80,61,85
Nuneaton and Bedworth,18,10,6,6,6,4,9,11,11,10,13,11,10,16,19,12,16,8,13,10,18
Oadby and Wigston,1,6,4,4,1,4,1,2,9,6,2,4,4,7,6,8,2,8,2,4,3
Oldham,22,23,17,24,12,18,15,17,23,10,19,24,21,26,16,14,18,16,16,11,28
Outer London,321,331,352,322,329,319,288,319,315,342,340,325,277,300,440,355,310,403,368,297,296
Oxford,21,16,10,16,14,22,14,19,12,15,12,10,13,12,11,9,12,11,9,12,9
Oxfordshire,55,68,41,56,40,72,49,71,49,55,59,48,58,55,51,50,63,42,57,59,65
Pembrokeshire / Sir Benfro,17,17,12,12,13,8,10,4,2,4,8,14,15,8,19,18,18,14,14,8,9
Pendle,17,7,10,8,10,5,3,9,11,9,6,11,12,9,8,6,12,12,4,3,10
Peterborough,24,22,14,22,10,14,19,20,14,21,20,24,12,12,18,24,17,20,26,17,15
Plymouth,27,16,19,24,13,29,19,22,36,23,24,33,27,24,21,19,24,25,35,13,28
Portsmouth,19,19,22,17,9,23,16,10,16,9,28,10,30,28,17,25,25,18,25,12,19
Powys / Powys,22,8,15,10,19,10,6,4,9,19,19,19,15,12,21,20,19,11,19,14,21
Preston,17,14,6,18,15,8,23,12,24,15,14,22,21,21,16,13,10,21,19,18,25
Reading,20,11,14,19,11,11,14,17,11,7,10,13,14,12,18,10,5,13,20,12,17
Redbridge,12,14,23,18,14,12,11,16,18,21,18,14,15,15,28,17,18,15,19,17,21
Redcar and Cleveland,13,15,20,10,19,12,19,10,18,11,14,11,8,19,10,12,12,12,23,25,21
Redditch,12,6,5,9,9,12,8,11,12,5,9,16,8,12,7,9,10,7,10,9,14
Reigate and Banstead,5,10,14,13,11,8,12,10,8,10,10,11,8,8,16,14,7,9,14,14,17
Rhondda Cynon Taf / Rhondda Cynon Taf,33,25,24,24,19,18,24,18,22,27,46,31,35,25,20,19,34,33,29,19,34
Ribble Valley,1,7,2,5,3,5,7,6,8,5,2,2,7,3,7,8,4,4,6,8,4
Richmond upon Thames,12,6,14,13,7,15,4,11,9,20,15,9,9,6,16,12,11,21,14,15,8
Richmondshire,6,1,7,2,7,2,0,5,5,3,9,8,4,3,5,5,4,3,9,7,5
Rochdale,21,15,25,20,18,20,16,15,23,20,20,21,20,31,11,18,18,23,13,18,29
Rochford,8,6,4,3,5,2,7,7,9,6,3,3,7,8,8,7,4,8,6,5,5
Rossendale,7,2,3,6,10,6,11,8,14,8,9,7,8,2,11,3,4,10,14,10,6
Rother,8,9,8,8,15,6,7,4,4,7,8,6,6,11,8,12,16,8,10,8,6
Rotherham,20,24,25,18,26,21,29,24,12,6,16,24,28,22,46,26,35,26,36,26,27
Rugby,10,7,15,8,5,9,2,4,6,10,6,8,8,5,11,8,8,5,10,10,12
Runnymede,3,5,5,9,4,4,4,5,8,6,6,6,14,7,8,6,6,5,7,7,5
Rushcliffe,3,5,5,12,7,7,7,5,2,7,9,8,9,11,7,6,8,7,10,6,8
Rushmoor,10,4,8,7,13,11,7,6,9,15,10,10,9,7,12,5,9,9,7,3,10
Rutland,4,1,5,5,3,3,2,1,2,1,3,4,2,0,3,2,4,1,2,0,1
Ryedale,2,4,4,3,5,11,5,0,2,6,3,4,6,5,7,3,8,3,5,6,5
Salford,14,14,18,22,25,22,17,21,25,23,27,14,22,27,32,14,31,25,34,20,30
Sandwell,21,32,28,25,14,27,22,28,23,22,25,17,25,28,29,31,26,31,32,34,27
Scarborough,14,12,9,18,13,9,10,10,13,14,17,15,17,6,16,11,9,21,14,12,11
Sedgemoor,10,3,11,10,10,16,9,9,12,14,6,5,10,12,9,13,15,14,15,10,18
Sefton,38,29,25,34,24,23,14,15,18,28,25,24,32,32,27,33,27,22,22,20,29
Selby,4,6,5,6,5,4,5,8,4,6,6,3,4,6,13,2,4,6,10,7,6
Sevenoaks,5,9,8,12,4,10,9,3,9,7,9,15,11,15,6,9,6,8,7,12,17
Sheffield,35,41,39,38,32,43,58,34,31,28,47,22,63,51,45,36,36,48,66,54,48
Shropshire,30,29,37,25,28,28,23,23,32,39,27,32,35,23,23,18,26,28,30,38,31
Slough,11,12,12,7,10,12,8,10,6,11,10,14,11,15,9,15,6,17,8,7,16
Solihull,13,13,10,14,11,12,11,12,8,10,12,9,7,29,14,12,26,30,18,23,18
Somerset,44,45,50,45,48,56,39,43,49,50,50,38,66,46,53,55,48,65,73,68,78
Somerset West and Taunton,11,14,20,14,20,18,15,10,18,11,16,9,20,15,20,19,11,19,27,28,23
South Cambridgeshire,6,16,14,15,8,5,7,14,12,5,11,5,17,10,12,21,8,17,21,9,13
South Derbyshire,8,5,9,8,7,3,6,9,6,10,5,6,7,3,10,9,5,9,9,11,2
South East,698,723,698,701,694,671,622,666,721,683,724,716,820,794,756,754,720,720,859,851,848
South Gloucestershire,15,11,14,8,11,14,14,15,18,17,18,20,22,24,19,9,26,20,21,19,20
South Hams,9,10,11,15,10,9,8,6,7,5,8,13,8,6,7,4,7,5,6,11,6
